x,mean,std_dev,significant_digits,true_value,abs_error,ulp_error
-4.0,-7.024591432127635e-05,2.6547932321605583e-11,6.4225903678257685,-7.024590740911663e-05,6.912159728053244e-12,0.9499999992549419
-3.9,-0.00011219764455745462,6.042826948394178e-11,6.268743582264617,-0.00011219760199310258,4.2564352040262536e-11,5.849999999627471
-3.8,-0.00017611923176445997,1.0791730985448395e-10,6.2127156716154905,-0.00017611935618333519,1.244188752133786e-10,8.550000000745058
-3.7,-0.0002718058793107048,1.5712664121144807e-10,6.238009019537627,-0.0002718059695325792,9.022187440503246e-11,3.099999999627471
-3.6,-0.0004125804116483778,2.403675584142621e-10,6.234632752793988,-0.00041258014971390367,2.6193447411060333e-10,9.0
-3.5,-0.0006161974975839257,2.897487520286782e-10,6.327698356189619,-0.0006161972996778786,1.9790604712747323e-10,3.400000000372529
-3.4,-0.0009058505675056949,4.6176768972738463e-10,6.292633019049907,-0.0009058511932380497,6.257323548197746e-10,10.75
-3.3,-0.0013112281216308475,4.962136835060896e-10,6.422009518749984,-0.0013112281449139118,2.328306427865079e-11,0.19999999925494194
-3.2,-0.0018695646082051097,4.087208454068118e-10,6.660313690070819,-0.001869564293883741,3.143213688459878e-10,2.699999999254942
-3.1,-0.002626610652077943,1.0743590364283682e-09,6.388246260158386,-0.002626611152663827,5.005858839425559e-10,2.150000000372529
-3.0,-0.003637391875963658,8.318863107612061e-10,6.640726114722639,-0.0036373911425471306,7.334165275964255e-10,3.150000000372529
-2.9,-0.004966663662344217,1.940663795607376e-09,6.408114447109931,-0.004966665059328079,1.3969838619232178e-09,3.0
-2.8,-0.006688893982209265,1.3885848799390943e-09,6.6827818805275045,-0.006688893772661686,2.0954757894153797e-10,0.44999999925494194
-2.7,-0.008887592796236276,1.6522430040206652e-09,6.7307102266301815,-0.00888759270310402,9.313225711460316e-11,0.09999999962747097
-2.6,-0.011653920356184243,3.499070689454519e-09,6.52251932942022,-0.01165392342954874,3.0733644969249685e-09,3.300000000745058
-2.5,-0.01508426433429122,2.8745020131956332e-09,6.719961517162902,-0.015084262937307358,1.3969838619232178e-09,1.5
-2.4,-0.019276840146631002,4.829851519876593e-09,6.601102066189267,-0.01927684247493744,2.3283064365386963e-09,1.25
-2.3,-0.02432702761143446,2.9295590358117565e-09,6.919286793831185,-0.024327028542757034,9.313225746154785e-10,0.5
-2.2,-0.03032146506011486,7.98071061695252e-09,6.579708618088599,-0.030321471393108368,6.332993508079143e-09,3.400000000372529
-2.1,-0.03733099922537804,1.3382694192692056e-08,6.445526060653348,-0.037330999970436096,7.450580569168253e-10,0.19999999925494194
-2.0,-0.045402306504547595,8.397682678282972e-09,6.73291845621681,-0.04540230706334114,5.587935461570659e-10,0.15000000037252903
-1.9,-0.05454876124858856,1.0495037427792482e-08,6.715800900896052,-0.05454876646399498,5.2154064192344585e-09,1.400000000372529
-1.8,-0.06474047489464282,1.377535799987598e-08,6.672072986483677,-0.06474046409130096,1.0803341859988436e-08,1.449999999254942
-1.7,-0.0758940927684307,1.110374659597226e-08,6.834738431837683,-0.0758940801024437,1.2665987009219393e-08,1.699999999254942
-1.6,-0.08786303363740444,1.2056183764280936e-08,6.862596335011488,-0.08786303550004959,1.862645149230957e-09,0.25
-1.5,-0.10042841657996178,1.2537312598538437e-08,6.903652160915059,-0.10042842477560043,8.195638653840653e-09,1.099999999627471
-1.4,-0.11329193077981473,3.8029088350578095e-09,7.474083063886196,-0.11329193413257599,3.3527612630646075e-09,0.44999999925494194
-1.3,-0.126070985943079,1.889508802995474e-08,6.824266229680278,-0.1260710060596466,2.011656760614322e-08,1.349999999627471
-1.2,-0.13829722627997398,9.516870582975523e-09,7.162319306376403,-0.13829723000526428,3.725290298461914e-09,0.25
-1.1,-0.14941894710063935,1.4979383037699522e-08,6.998911745515401,-0.1494189351797104,1.1920928966180355e-08,0.8000000007450581
-1.0,-0.15880800560116767,1.3907283609284844e-08,7.057630080422836,-0.15880799293518066,1.2665987009219393e-08,0.849999999627471
-0.9,-0.16577150523662568,8.914515996219497e-09,7.269412112353617,-0.1657715141773224,8.940696710757479e-09,0.599999999627471
-0.8,-0.16956830844283105,1.1312285871078966e-08,7.175794316229503,-0.16956830024719238,8.195638667718441e-09,0.5500000007450581
-0.7,-0.16942986473441124,1.356699269769809e-08,7.0965063728728,-0.16942985355854034,1.1175870895385742e-08,0.75
-0.6,-0.16458480209112167,9.547520809131674e-09,7.236499115978743,-0.16458480060100555,1.4901161138336505e-09,0.09999999962747097
-0.5,-0.1542859874665737,7.292039481417804e-09,7.325477473043499,-0.1542859822511673,5.2154064122955646e-09,0.34999999962747097
-0.4,-0.13783882781863213,8.74911172110438e-09,7.1974076089595105,-0.13783884048461914,1.2665987009219393e-08,0.849999999627471
-0.3,-0.1146290797740221,5.5518732976920685e-09,7.3148552596773575,-0.11462908238172531,2.6077032061477823e-09,0.34999999962747097
-0.2,-0.08414857089519501,5.405219272598711e-09,7.192233428105516,-0.08414857089519501,0.0,0.0
-0.1,-0.04601724930107594,2.9851299065853168e-09,7.187957419526842,-0.046017251908779144,2.6077032061477823e-09,0.6999999992549419
0.0,0.0,0.0,inf,0.0,0.0,0.0
0.1,0.053982751443982124,1.911033600727383e-09,7.450986693216817,0.053982753306627274,1.862645149230957e-09,0.5
0.2,0.11585143133997917,2.293240325144353e-09,7.703451833894081,0.11585143208503723,7.450580569168253e-10,0.09999999962747097
0.3,0.18537093326449394,6.6200145828622475e-09,7.447182690305422,0.18537093698978424,3.725290298461914e-09,0.25
0.4,0.2621611773967743,1.4979383022005057e-08,7.243074453043538,0.26216116547584534,1.1920928966180355e-08,0.40000000037252903
0.5,0.34571401327848433,1.749822344220876e-08,7.2957230258057795,0.3457140028476715,1.0430812824591129e-08,0.34999999962747097
0.6,0.4354152321815491,1.559103620403716e-08,7.446028637923571,0.43541523814201355,5.960464455334602e-09,0.19999999925494194
0.7,0.5305701285600662,2.916815787134128e-08,7.259833793358973,0.5305701494216919,2.0861625649182258e-08,0.34999999962747097
0.8,0.6304316997528077,4.1476033534483885e-08,7.181840825547369,0.6304317116737366,1.1920928910669204e-08,0.19999999925494194
0.9,0.7342284709215164,3.499644694960349e-08,7.32180726658738,0.7342284917831421,2.0861625649182258e-08,0.34999999962747097
1.0,0.8411919891834259,4.7762078569535676e-08,7.24581190947266,0.8411920070648193,1.788139347702611e-08,0.30000000074505806
1.1,0.9505810499191284,3.5658064037621956e-08,7.425831391687853,0.9505810737609863,2.384185793236071e-08,0.40000000037252903
1.2,1.0617028534412385,9.049828702405074e-08,7.0693626257320465,1.061702847480774,5.9604645663569045e-09,0.05000000074505806
1.3,1.1739289581775665,6.999289376883504e-08,7.224587866569133,1.17392897605896,1.788139347702611e-08,0.15000000037252903
1.4,1.286708015203476,8.882997288148194e-08,7.160920476763395,1.286708116531372,1.0132789607375514e-07,0.849999999627471
1.5,1.3995715796947479,7.996802244846319e-08,7.24307875856835,1.3995715379714966,4.1723251298364517e-08,0.34999999962747097
1.6,1.5121369779109954,8.882997287599277e-08,7.231031604296816,1.5121369361877441,4.1723251298364517e-08,0.34999999962747097
1.7,1.6241059482097626,1.0431933163588293e-07,7.192249561025439,1.6241059303283691,1.788139347702611e-08,0.15000000037252903
1.8,1.7352595031261444,9.374588914597621e-08,7.267412198933107,1.7352595329284668,2.9802322387695312e-08,0.25
1.9,1.845451182126999,9.841656058810906e-08,7.273034377795065,1.8454511165618896,6.556510934174753e-08,0.5500000007450581
2.0,1.9545976638793945,1.1858021239157678e-07,7.21704515148519,1.9545978307724,1.6689300541550267e-07,1.400000000372529
2.1,2.0626689314842226,1.21693083175192e-07,7.229163632781975,2.062669038772583,1.0728836041806744e-07,0.44999999925494194
2.2,2.169678521156311,1.3619436516224848e-07,7.2022362500217625,2.1696784496307373,7.152557390810443e-08,0.30000000074505806
2.3,2.2756729125976562,1.547064031914935e-07,7.16760155090011,2.2756729125976562,0.0,0.0
2.4,2.380723237991333,0.0,inf,2.380723237991333,0.0,0.0
2.5,2.4849158048629763,1.7468812375595857e-07,7.1530482980425045,2.4849157333374023,7.152557390810443e-08,0.30000000074505806
2.6,2.588346004486084,1.7296701672315874e-07,7.175059036506797,2.588346004486084,0.0,0.0
2.7,2.691112458705902,1.0592023312850415e-07,7.404952918873067,2.691112518310547,5.960464477539063e-08,0.25
2.8,2.793311095237732,1.7122861059262882e-07,7.212542973741418,2.79331111907959,2.3841857821338408e-08,0.09999999962747097
2.9,2.8950334548950196,1.9568984071448405e-07,7.170085307042814,2.895033597946167,1.4305114737211966e-07,0.599999999627471
3.0,2.996362578868866,1.9683312117621813e-07,7.1824961854683576,2.9963626861572266,1.0728836041806744e-07,0.44999999925494194
3.1,3.097373330593109,2.0863866305942718e-07,7.171598763477526,3.0973732471466064,8.344650259672903e-08,0.34999999962747097
3.2,3.1981304407119753,1.3619436516224848e-07,7.370737033480593,3.1981303691864014,7.152557390810443e-08,0.30000000074505806
3.3,3.2986887454986573,1.9568984076004664e-07,7.226773058896288,3.2986888885498047,1.4305114737211966e-07,0.599999999627471
3.4,3.399094307422638,2.4795290911036915e-07,7.136994006171218,3.3990941047668457,2.0265579214751028e-07,0.849999999627471
3.5,3.4993837594985964,2.2015107074304442e-07,7.201270769879183,3.4993839263916016,1.6689300519345807e-07,0.6999999992549419
3.6,3.599587416648865,2.77826167399435e-07,7.1124795770620635,3.5995874404907227,2.3841857821338408e-08,0.09999999962747097
3.7,3.6997281551361083,3.03555882564069e-07,7.085931161172533,3.69972825050354,9.536743172944284e-08,0.40000000037252903
3.8,3.7998238682746885,2.2518950499029935e-07,7.2272153201491145,3.799823760986328,1.0728836041806744e-07,0.44999999925494194
3.9,3.8998878717422487,2.690735306220569e-07,7.161181143193287,3.899888038635254,1.6689300519345807e-07,0.6999999992549419
4.0,3.9999297618865968,2.2419087716078763e-07,7.251434429071341,3.999929904937744,1.4305114737211966e-07,0.599999999627471
